t_sec,x,y,dt,dx,dy,disp,speed,accel,direction,roi,roi_change,dwell_time,fix_flag,fix_dur,sacc_amp,speed_mean,speed_std,accel_mean,disp_mean,Dax_fc,Day_fc,alpha_fc,participant,cluster,x_next,y_next,t_next,dt_next
0.0,809.17645,603.58826,0.033584595,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0.033584595,1,0.033584595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,P05,0,798.05884,595.7059,0.036117647,0.036117647
0.036117647,798.05884,595.7059,0.036117647,-11.117615,-7.8823853,13.628403,377.33362,10447.348,-2.524852,34,0,0.06970224,0,0.0,13.628403,188.66680908203125,266.815160173464,5223.673828125,6.814201354980469,0.0,0.0,0.8,P05,0,750.41174,597.35297,0.07470588,0.03858823
0.07470588,750.41174,597.35297,0.03858823,-47.647095,1.6470947,47.675556,1235.4948,22238.936,3.1070378,33,1,0.03858823,0,0.0,47.675556,537.6094563802084,633.1493332220889,10895.427734375,20.43465296427409,0.0,0.0,0.8,P05,0,718.7059,586.17645,0.10841177,0.03370589
0.10841177,718.7059,586.17645,0.03370589,-31.705872,-11.176514,33.618103,997.3955,-7064.025,-2.802687,33,0,0.072294116,0,0.0,33.618103,652.5559692382812,565.7763298153328,6405.5645751953125,23.730515480041504,0.0,0.0,0.8,P05,0,705.2941,603.17645,0.14035293,0.031941168
0.14035293,705.2941,603.17645,0.031941168,-13.411743,17.0,21.653519,677.9188,-10002.035,2.2387483,32,1,0.031941168,0,0.0,21.653519,657.6285400390625,490.10794362785623,3124.04462890625,23.315116119384765,0.0,0.0,0.8,P05,0,699.05884,604.0,0.17217647,0.03182353
0.17217647,699.05884,604.0,0.03182353,-6.2352905,0.82354736,6.289442,197.63495,-15092.099,3.0102744,32,0,0.0637647,0,0.0,6.289442,580.9629414876302,476.89655181516775,88.020751953125,20.477503776550293,0.0,0.0,0.8,P05,0,702.7647,640.58826,0.20370589,0.031529427
0.20370589,702.7647,640.58826,0.031529427,3.7058716,36.588257,36.775455,1166.3851,30725.271,1.4698547,40,1,0.031529427,0,0.0,36.775455,664.5946829659598,488.34940861015144,4464.770856584822,22.805782590593612,0.0,0.0,0.8,P05,0,690.58826,621.58826,0.23547058,0.031764686
0.23547058,690.58826,621.58826,0.031764686,-12.176453,-19.0,22.566923,710.4406,-14353.817,-2.1407235,32,1,0.031764686,0,0.0,22.566923,670.3254241943359,452.41415720250933,2112.4473266601562,22.775925159454346,0.0,0.0,0.8,P05,0,681.17645,615.82355,0.26764706,0.03217648
0.26764706,681.17645,615.82355,0.03217648,-9.411804,-5.7647095,11.036935,343.0125,-11419.151,-2.5920343,32,0,0.063941166,0,0.0,11.036935,633.9573228624132,437.03260471388256,608.9363606770834,21.471592903137207,0.0,0.0,0.8,P05,0,697.7059,633.17645,0.29958823,0.031941175
0.29958823,697.7059,633.17645,0.031941175,16.529419,17.352905,23.965496,750.301,12751.206,0.8096977,32,0,0.09588234,0,0.0,23.965496,645.5916931152344,413.67757869977567,1823.163330078125,21.720983219146728,0.0,0.0,0.8,P05,0,651.1177,610.58826,0.3311765,0.031588256
