t_sec,x,y,dt,dx,dy,disp,speed,accel,direction,roi,roi_change,dwell_time,fix_flag,fix_dur,sacc_amp,speed_mean,speed_std,accel_mean,disp_mean,Dax_fc,Day_fc,alpha_fc,participant,cluster,x_next,y_next,t_next,dt_next
0.0,750.4117647058823,604.2352941176471,0.03200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,42,0,0.03200000000000003,1,0.03200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,CLUSTER_0_MEAN,0,742.478897716521,593.4486308477747,0.032,0.032
0.032,742.478897716521,593.4486308477747,0.032,-7.932866989361287,-10.786663269872406,13.389640890199875,418.4262778187461,13075.821181835814,-2.2049091168055837,41,1,0.032,0,0.0,13.389640890199875,209.21313890937304,295.87205847228165,6537.910590917907,6.694820445099937,0.0,0.0,0.8,CLUSTER_0_MEAN,0,692.1665363153583,599.7559626621676,0.064,0.032
0.064,692.1665363153583,599.7559626621676,0.032,-50.312361401162775,6.30733181439291,50.70617461787141,1584.5679568084815,36441.92746842923,3.0168798046379455,41,0,0.064,0,0.0,50.70617461787141,667.6647448757425,821.1600103096488,16505.916216755013,21.365271836023762,0.0,0.0,0.8,CLUSTER_0_MEAN,0,679.0781422369797,601.1831051264135,0.096,0.032
0.096,679.0781422369797,601.1831051264135,0.032,-13.088394078378542,1.4271424642458896,13.16597110600613,411.4365970626916,-36660.35499205594,3.032982958442448,41,0,0.096,0,0.0,13.16597110600613,603.6077079224798,682.6046129500994,3214.348414552276,19.315446653519352,0.0,0.0,0.8,CLUSTER_0_MEAN,0,664.6249201734804,603.5188927603035,0.128,0.032
0.128,664.6249201734804,603.5188927603035,0.032,-14.453222063499311,2.3357876338900496,14.640749020711233,457.52340689722604,1440.2128073292015,2.9813678111711046,40,1,0.032,0,0.0,14.640749020711233,574.390847717429,594.7519800864674,2859.521293107661,18.38050712695773,0.0,0.0,0.8,CLUSTER_0_MEAN,0,656.2239482100083,608.8516621429692,0.16,0.032
0.16,656.2239482100083,608.8516621429692,0.032,-8.400971963472102,5.332769382665674,9.950616022123492,310.95675069135916,-4580.2080064333395,2.575991387243688,40,0,0.064,0,0.0,9.950616022123492,530.4851648797508,542.7247812345367,1619.5664098508278,16.975525276152023,0.0,0.0,0.8,CLUSTER_0_MEAN,0,653.3932111640263,609.9445436072986,0.192,0.032
0.192,653.3932111640263,609.9445436072986,0.032,-2.830737045982005,1.0928814643293663,3.0343800221082438,94.82437569088262,-6754.136718764892,2.773146488911904,40,0,0.096,0,0.0,3.0343800221082438,468.247909281341,522.0850716400048,423.3231057628678,14.983933097002913,0.0,0.0,0.8,CLUSTER_0_MEAN,0,627.6908014403713,594.475622000975,0.224,0.032
0.224,627.6908014403713,594.475622000975,0.032,-25.702409723655023,-15.468921606323534,29.99835664274327,937.4486450857272,26332.00841858889,-2.5998160739389875,40,0,0.128,0,0.0,29.99835664274327,526.8980012568893,511.03083445487886,3661.9087698661206,16.860736040220456,0.0,0.0,0.8,CLUSTER_0_MEAN,0,633.1937201324135,599.9375822102066,0.256,0.032
0.256,633.1937201324135,599.9375822102066,0.032,5.502918692042272,5.46196020923162,7.75339431851997,242.29357245374905,-21723.596019749315,0.7816627557675361,40,0,0.16,0,0.0,7.75339431851997,495.2752869454293,487.348349835117,841.2971265755166,15.848809182253737,0.0,0.0,0.8,CLUSTER_0_MEAN,0,638.7688180292406,594.0542922267505,0.288,0.03199999999999997
0.288,638.7688180292406,594.0542922267505,0.03199999999999997,5.57509789682706,-5.883289983456166,8.105233962609663,253.2885613315522,343.59340243134835,-0.8122883161592064,40,0,0.19199999999999998,0,0.0,8.105233962609663,471.0766143840416,465.8050534686141,791.5267541610998,15.07445166028933,0.0,0.0,0.8,CLUSTER_0_MEAN,0,620.2687177860618,579.5064258166279,0.32,0.03200000000000003
