participant,set,activity,x,y,timestamp
P12,C,READ,832,438,0
P12,C,READ,852,458,24
P12,C,READ,829,431,58
P12,C,READ,845,431,86
P12,C,READ,813,344,116
P12,C,READ,784,173,145
P12,C,READ,784,181,175
P12,C,READ,785,175,204
P12,C,READ,784,166,233
P12,C,READ,773,169,262
P12,C,READ,766,148,290
P12,C,READ,773,177,319
P12,C,READ,800,205,344
P12,C,READ,790,168,369
P12,C,READ,782,164,400
P12,C,READ,797,166,429
P12,C,READ,787,168,455
P12,C,READ,799,62,482
P12,C,READ,776,140,510
P12,C,READ,822,138,539
P12,C,READ,854,140,568
P12,C,READ,856,148,597
P12,C,READ,853,149,624
P12,C,READ,846,139,651
P12,C,READ,848,137,679
P12,C,READ,853,139,707
P12,C,READ,852,146,735
P12,C,READ,860,132,768
P12,C,READ,870,165,795
P12,C,READ,855,132,823
P12,C,READ,854,127,851
P12,C,READ,881,143,879
P12,C,READ,866,141,907
P12,C,READ,881,122,938
P12,C,READ,869,140,966
P12,C,READ,864,128,991
P12,C,READ,865,137,1016
P12,C,READ,861,136,1044
P12,C,READ,848,130,1071
P12,C,READ,789,145,1099
P12,C,READ,789,129,1126
P12,C,READ,777,150,1153
P12,C,READ,791,132,1181
P12,C,READ,796,144,1209
P12,C,READ,796,155,1236
P12,C,READ,782,137,1264
P12,C,READ,788,177,1292
P12,C,READ,744,183,1320
P12,C,READ,731,172,1347
P12,C,READ,726,174,1374
P12,C,READ,736,185,1401
P12,C,READ,727,160,1428
P12,C,READ,733,177,1456
P12,C,READ,734,170,1486
P12,C,READ,740,160,1514
P12,C,READ,549,379,1542
P12,C,READ,756,171,1678
P12,C,READ,766,173,1754
P12,C,READ,764,171,1779
P12,C,READ,755,175,1805
P12,C,READ,793,182,1833
P12,C,READ,802,189,1862
P12,C,READ,782,178,1891
P12,C,READ,802,175,1919
P12,C,READ,785,178,1948
P12,C,READ,789,168,1978
P12,C,READ,789,173,2007
P12,C,READ,797,173,2040
P12,C,READ,826,185,2070
P12,C,READ,853,168,2099
P12,C,READ,842,176,2129
P12,C,READ,844,195,2158
P12,C,READ,836,182,2187
P12,C,READ,839,186,2216
P12,C,READ,946,336,2246
P12,C,READ,964,324,2276
P12,C,READ,928,392,2321
P12,C,READ,948,361,2360
P12,C,READ,935,397,2398
P12,C,READ,843,261,2436
